Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	27.8723553538	41.6976571706	-28.6481946511	134.276503952	-151.708759152	27.4614136799	-211.870589188	-112.438440823
1	-65.9987992513	23.231747775	-100.387437433	-23.4652961318	-47.0862038663	24.9844902405	-81.6744653348	-3.7492003692
2	-172.968917628	55.5820242788	-255.009937795	-72.8044351786	67.8448856543	36.8936965051	13.6385925311	126.672391713
3	-329.923087086	22.0647213752	-373.264127101	-286.331585326	275.484753262	28.0320154102	230.421342957	322.315040089
4	-439.132334516	65.507846015	-512.474274559	-269.318431351	356.697603156	41.4048143712	291.328624435	412.273262569
5	-521.611652926	74.7631925123	-618.658182249	-419.853010678	419.335529906	46.103041256	347.077808419	491.271505083
6	-638.921498403	62.2160003941	-720.012396965	-519.336821689	532.839979455	22.9641991619	510.370070794	588.823225867
7	-733.543971664	81.7635281882	-859.069224029	-618.192751897	674.056395897	44.8406453841	578.025076421	728.386137177
8	-760.044764306	33.8491171106	-817.028203292	-708.189665253	603.928064052	37.575360527	528.335245718	650.5471487
9	-841.213457836	45.5998807437	-950.664700521	-781.843693846	726.009965041	43.8485103453	659.186265186	814.624354602
10	-1015.32787847	55.4691178633	-1110.24507441	-915.943192639	915.116785487	39.1736520004	863.110030342	977.191690746
11	-890.04176347	50.5744946975	-978.161593542	-810.188288477	739.130190794	43.0650706	637.699508361	786.662786204
12	-949.16218374	48.2182993755	-1053.74937606	-879.725772601	802.262486223	53.2501257983	720.383821213	911.024874065
13	-1083.97749844	36.832660105	-1157.78773283	-1046.3884979	943.907174786	31.1935066204	892.943793886	983.166245492
14	-1041.37662898	65.6666606734	-1127.61120867	-915.916923001	930.482536471	40.1135216584	860.742070228	1000.40435294
