Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	245.430305665	166.239246825	-22.5276624956	568.19280657	369.066391718	42.7934991471	294.218178022	442.646248826
1	-1168.51632712	67.1903009976	-1289.41794439	-1075.1061846	1026.65026944	58.3908947699	958.500062261	1158.22627299
2	-1301.18137968	40.6539742174	-1367.89958219	-1230.54983202	1145.01614547	45.7898269904	1062.55301217	1204.99116793
3	-1422.13425955	97.7638865628	-1630.568694	-1277.92757213	1273.13468976	87.7068354531	1131.94158015	1448.71553826
4	-1376.05811176	69.6848339855	-1497.82452603	-1258.72667161	1202.12362688	58.7040101285	1121.08813864	1320.4419038
5	-1495.10127043	55.5447116764	-1610.01985977	-1427.8239662	1309.52053033	47.0731936106	1242.95402152	1395.8267924
6	-1482.67898375	70.6611761149	-1569.26221814	-1362.06285167	1309.79714702	59.6746611866	1216.09694989	1420.9443782
7	-1516.6959346	36.1854735364	-1568.0273688	-1463.31904529	1344.73029948	45.7752307802	1279.11360545	1424.55948246
8	-1544.22164367	58.790764182	-1624.09059863	-1431.35037534	1353.18565262	48.3899833809	1262.74549842	1411.49249416
9	-1598.03710607	51.4099094451	-1684.31391967	-1511.77040985	1413.98159301	42.8758191997	1361.6796942	1494.62217886
10	-1504.53835598	66.7648183126	-1607.29664714	-1372.95601033	1326.15293632	55.9976729494	1191.59716106	1412.62819166
11	-1520.41976266	52.9126699594	-1606.52172376	-1439.32439647	1333.16322809	43.428641158	1245.82861408	1396.66180425
12	-1537.04378169	65.6053166496	-1616.86381493	-1456.65088225	1350.08809883	73.6791242847	1257.00443355	1454.03245621
13	-1546.78880095	60.4606200082	-1632.80597811	-1438.78845597	1359.2032513	53.2228889104	1265.12356331	1428.37289884
14	-1564.74065829	49.4351356437	-1633.4674516	-1453.73769415	1376.28089041	43.2210039586	1274.32406491	1438.31971632
