Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	20.4817833697	53.3015748562	-72.1397190239	134.731598741	-137.449631855	38.6980650167	-188.079114498	-54.6503105619
1	-70.0493928248	25.1625104787	-110.076474862	-31.8535131106	-15.1865801958	21.9438859055	-60.4401233237	11.6003658458
2	-243.234716916	38.2941992393	-315.066956306	-189.479686361	132.316709066	20.9956681897	95.5364728726	158.595495093
3	-335.940390468	30.7835616551	-397.956793719	-288.95021098	332.997550147	32.2673898112	276.490693961	390.872913866
4	-476.204798872	66.6640759537	-565.913080701	-316.726669618	376.914611212	37.5831132921	308.113667166	425.46006023
5	-457.44492109	35.0156751738	-503.109986757	-370.98690762	349.455713545	28.7169191659	314.058742647	418.438838344
6	-532.533103852	51.1101232717	-643.736791375	-463.992731256	457.44169147	25.4472434902	429.378398131	496.772284743
7	-709.450893091	35.0043673473	-786.086523924	-638.676443041	584.752522515	28.6848115301	541.095999388	636.320149786
8	-745.201499333	53.0524032361	-844.817365517	-665.642519314	659.451450467	35.244352546	595.481721113	727.713983048
9	-887.047783748	40.654598199	-931.903711408	-808.178788038	747.18374565	36.8742960747	654.944058332	792.679481907
10	-805.882987542	53.3444173663	-913.771051406	-722.161270666	681.472073041	39.6160299873	634.398105009	764.802570487
11	-752.567220863	57.4364004684	-857.933947067	-687.197682129	724.052907389	41.0075809579	643.640268994	788.3213968
12	-989.958013962	44.0502560312	-1037.39224844	-892.974549431	893.630560234	37.6706217782	823.153404107	961.846316252
13	-990.772218793	96.8721209508	-1116.85697577	-800.94797213	911.766554973	43.2060572594	836.186471603	988.666735568
14	-1066.93626702	69.9230937952	-1179.13047599	-970.196691862	941.722456842	47.5642132388	877.694471787	1027.68698393
